"35332","6","8","3","2","41.33","40.49","0.92","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35333","6","2","1","2","42.25","43.64","0.86","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35334","2","17","0","2","44.50","39.17","1.53","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35335","17","12","3","3","40.70","37.40","0.33","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35336","3","12","2","1","38.30","37.73","0.94","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35337","3","17","2","0","39.24","40.37","1.11","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35338","2","8","3","1","42.97","39.57","0.66","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35339","4","8","2","2","40.41","38.91","0.15","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35340","4","8","1","0","40.26","39.06","0.88","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35341","10","4","3","2","41.89","41.14","0.92","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35342","1","2","1","1","41.29","43.63","0.23","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35343","1","2","0","2","41.52","43.40","0.81","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35344","4","8","2","2","40.22","38.18","0.20","2018-11-24 21:58:39","2018-11-24 21:58:39"
"35345","4","1","0","1","40.02","40.71","0.93","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35346","5","1","1","2","39.34","41.64","0.77","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35347","1","8","2","1","42.41","38.38","0.60","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35348","1","4","1","1","43.01","39.09","0.39","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35349","5","4","2","2","38.57","39.48","0.09","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35350","5","4","0","1","38.66","39.39","0.93","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35351","5","4","2","1","37.73","40.32","1.26","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35352","5","4","3","2","38.99","39.06","1.01","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35353","8","1","2","1","37.78","42.62","1.48","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35354","6","10","1","0","41.39","42.81","1.14","2018-11-24 21:58:40","2018-11-24 21:58:40"
