იგროკები
ნიკო
ბახსო
კვეტენა
ბასა
ლაშა
კეცხო
იმედა
გაგა
ბიო
რამაზა
აკაკი
მახარა
დათო
კობა
ახვლედა
გოგოლა
თოკარეშკა
გულვერდა
